marker_gene_symbol	cell_type	marker_gene_ensembl_id	comment
Lgr5	Stem cells	ENSMUSG00000020140	""
Olfm4	Stem cells	ENSMUSG00000022026	""
Ascl2	Stem cells	ENSMUSG00000009248	""
Axin2	Stem cells	ENSMUSG00000000142	""
Slc12a2	Stem cells	ENSMUSG00000024597	""
Gkn3	Stem cells	ENSMUSG00000030048	""
CD44	Stem cells	ENSMUSG00000005087	gradient
Clca3b	Stem cells	ENSMUSG00000037033	""
Lyz1	Paneth cells	ENSMUSG00000069515	""
Defa17	Paneth cells	ENSMUSG00000060208	""
Defa22	Paneth cells	ENSMUSG00000074443	""
Defa24	Paneth cells	ENSMUSG00000064213	""
Ang4	Paneth cells	ENSMUSG00000060615	""
Itln1	Paneth cells	ENSMUSG00000038209	""
Muc2	Goblet cells	ENSMUSG00000025515	""
Clca1	Goblet cells	ENSMUSG00000028255	""
Tff3	Goblet cells	ENSMUSG00000024029	""
Agr2	Goblet cells	ENSMUSG00000020581	""
Ift	Goblet cells	ENSMUSG00000024029	""
Dclk1	Tuft cells	ENSMUSG00000027797	""
Trpm5	Tuft cells	ENSMUSG00000009246	""
Gfi1b	Tuft cells	ENSMUSG00000026815	""
Il25	Tuft cells	ENSMUSG00000040770	""
Chga	EECs	ENSMUSG00000021194	""
Chgb	EECs	ENSMUSG00000027350	""
Tac1	EECs	ENSMUSG00000061762	""
Tph1	EECs	ENSMUSG00000040046	""
Neurog3	EECs	ENSMUSG00000044312	""
Alpi	Enterocytes	ENSMUSG00000079440	""
Apoa1	Enterocytes	ENSMUSG00000032083	""
Apoa4	Enterocytes	ENSMUSG00000032080	""
Fabp1	Enterocytes	ENSMUSG00000054422	""
